x,Curve1
1.15452,4.25532e-06
1.22126,4.25532e-06
1.28798,5.10638e-06
1.34802,6.38298e-06
1.41474,7.23404e-06
1.47479,8.08511e-06
1.53482,9.78723e-06
1.59486,1.10638e-05
1.65489,1.2766e-05
1.70824,1.44681e-05
1.76827,1.61702e-05
1.81493,1.87234e-05
1.87495,2.08511e-05
1.92162,2.34043e-05
1.96827,2.6383e-05
2.02161,2.85106e-05
2.04826,3.06383e-05
2.09491,3.3617e-05
2.13489,3.65957e-05
2.16819,4e-05
2.20816,4.34043e-05
2.24145,4.68085e-05
2.27474,5.02128e-05
2.30804,5.3617e-05
2.34133,5.70213e-05
2.37462,6.08511e-05
2.40123,6.46809e-05
2.42785,6.80851e-05
2.44778,7.23404e-05
2.4744,7.57447e-05
2.50101,7.95745e-05
2.52762,8.34043e-05
2.54756,8.7234e-05
2.57417,9.10638e-05
2.59411,9.48936e-05
2.62072,9.87234e-05
2.63397,0.000102979
2.65391,0.000106809
2.67385,0.000110638
2.69377,0.000114894
2.71372,0.000118298
2.72697,0.000122553
2.74023,0.000126809
2.77346,0.000133191
2.79339,0.000137021
2.81333,0.000140851
2.82658,0.000145106
2.84652,0.000148936
2.85977,0.000153191
2.87303,0.000157447
2.89297,0.000160851
2.90623,0.000165106
2.91948,0.000169362
2.93942,0.000173191
2.96592,0.000181702
2.98586,0.000185532
3.00575,0.000191489
3.02569,0.000195319
3.04556,0.000202128
3.06549,0.000206383
3.11859,0.000219574
3.13852,0.000223404
3.17169,0.00023234
3.19163,0.00023617
3.2182,0.000241702
3.24482,0.000245532
3.29139,0.000251915
3.31801,0.000255319
3.35798,0.000258723
3.41801,0.000260426
3.47146,0.000257872
3.50491,0.000254468
3.53168,0.000251064
3.55179,0.000247234
3.57189,0.000243404
3.59201,0.000239149
3.65246,0.000221702
3.6659,0.000217872
3.68607,0.000211064
3.69951,0.000206809
3.84092,0.000150638
3.85435,0.000146809
3.8678,0.000142553
3.87457,0.000138298
3.88133,0.000134043
3.89478,0.000129787
3.91496,0.000122553
3.92173,0.000118298
3.93517,0.000114043
3.9486,0.000110213
3.9688,0.000102553
3.98224,9.82979e-05
4.0024,9.23404e-05
4.01584,8.80851e-05
4.02932,8.21277e-05
4.04943,7.82979e-05
4.06291,7.23404e-05
4.08301,6.85106e-05
4.10318,6.21277e-05
4.12996,5.82979e-05
4.14345,5.19149e-05
4.17023,4.80851e-05
4.19707,4.17021e-05
4.23052,3.82979e-05
4.25063,3.40426e-05
4.27741,3.06383e-05
4.30419,2.68085e-05
4.33763,2.34043e-05
4.37775,2e-05
4.4112,1.65957e-05
4.45798,1.3617e-05
4.49809,1.06383e-05
4.55154,8.08511e-06
4.60498,5.95745e-06
4.66509,4.25532e-06
4.72519,2.55319e-06
4.78528,1.70213e-06
