x,Curve1
1.43496,7.03235e-06
1.49015,7.73558e-06
1.53984,9.14205e-06
1.59503,9.84529e-06
1.65023,1.12518e-05
1.69992,1.26582e-05
1.75512,1.40647e-05
1.80481,1.54712e-05
1.85451,1.82841e-05
1.9042,2.03938e-05
1.95389,2.25035e-05
2.00359,2.53165e-05
2.04777,2.81294e-05
2.09748,3.16456e-05
2.14718,3.44585e-05
2.19138,3.86779e-05
2.23005,4.28973e-05
2.27425,4.71167e-05
2.31845,5.13361e-05
2.35713,5.62588e-05
2.39582,6.11814e-05
2.42899,6.61041e-05
2.46215,7.10267e-05
2.50085,7.66526e-05
2.52849,8.15752e-05
2.56167,8.72011e-05
2.59484,9.2827e-05
2.62251,9.91561e-05
2.65016,0.000104782
2.67782,0.000110408
2.69996,0.000116737
2.72762,0.000122363
2.74976,0.000127989
2.77191,0.000135021
2.79405,0.000140647
2.81619,0.000146976
2.83834,0.000153305
2.85496,0.000159634
2.87711,0.000165963
2.89925,0.000172293
2.91588,0.000178622
2.94357,0.000187764
2.96572,0.000194093
2.98236,0.000201828
3.00451,0.000208158
3.02113,0.000214487
3.05994,0.000230661
3.07657,0.00023699
3.09319,0.000242616
3.16529,0.000274965
3.18743,0.000281294
3.21518,0.000295359
3.23181,0.000301688
3.29835,0.00033052
3.3205,0.00033685
3.33716,0.000346695
3.3593,0.000352321
3.37595,0.000361463
3.3981,0.000367792
3.42028,0.000376934
3.44241,0.00038256
3.48671,0.000395921
3.53098,0.000407173
3.56416,0.000412799
3.60284,0.000417018
3.65803,0.000417722
3.69662,0.000413502
3.72967,0.000407876
3.7572,0.00040225
3.77369,0.000395921
3.8177,0.000383263
3.82861,0.000372011
3.85062,0.000366385
3.86705,0.000355134
3.87801,0.000348101
3.88897,0.000341069
3.89993,0.000334037
3.91637,0.000322785
3.93285,0.000316456
3.96015,0.000289733
3.97664,0.000283404
4.00395,0.000258087
4.01491,0.000251055
4.10789,0.000175105
4.12438,0.000168776
4.17361,0.000129395
4.18457,0.000122363
4.20106,0.000116034
4.21198,0.000105485
4.22294,9.84529e-05
4.23944,9.2827e-05
4.2504,8.57947e-05
4.26135,7.87623e-05
4.27784,7.24332e-05
4.2888,6.54008e-05
4.29977,5.90717e-05
4.31626,5.27426e-05
4.33273,4.57103e-05
4.34924,4.07876e-05
4.37124,3.44585e-05
4.40973,2.18003e-05
4.45932,1.40647e-05
4.51994,6.32911e-06
4.58061,3.51617e-06
