x,Curve1
0.158664,0.291005
0.260639,0.581599
0.339922,0.944492
0.430526,1.37993
0.52113,1.81537
0.611735,2.25081
0.691017,2.6137
0.781622,3.04914
0.872242,3.41212
0.962846,3.84756
1.04213,4.21045
1.13272,4.71835
1.22334,5.08133
1.31394,5.51677
1.40456,5.87974
1.48383,6.3151
1.57443,6.75054
1.66505,7.11351
1.75566,7.54895
1.84626,7.98439
1.93688,8.34737
2.02749,8.78281
2.10675,9.21816
2.20871,9.58122
2.28799,9.94412
2.3786,10.3796
2.4692,10.815
2.55981,11.2504
2.63907,11.6858
2.72969,12.0488
2.8203,12.4842
2.91092,12.8472
2.99019,13.2825
3.08079,13.718
3.17139,14.1534
3.26201,14.5164
3.34128,14.9517
3.4319,15.3147
3.52251,15.7502
3.61311,16.1856
3.70373,16.5486
3.783,16.9839
3.8736,17.4194
3.95288,17.7823
4.04349,18.2177
4.12277,18.5806
4.21339,18.9436
4.30401,19.3066
4.3946,19.8145
4.47388,20.1773
4.56449,20.6128
4.65511,20.9758
4.74571,21.4112
4.83632,21.8466
4.91558,22.282
5.00622,22.5725
5.08549,23.0079
5.17609,23.4433
5.26669,23.8787
5.3573,24.3142
5.4479,24.7496
5.52719,25.1125
5.61781,25.4755
5.70843,25.8385
5.78769,26.2738
5.8783,26.7093
5.95758,27.0722
6.04818,27.5076
6.13879,27.943
6.22941,28.306
6.32001,28.7414
6.3993,29.1043
6.48992,29.4673
6.58052,29.9028
6.65979,30.3381
6.73907,30.701
6.82969,31.064
6.92029,31.4994
7.0109,31.9349
7.10152,32.2978
7.18079,32.7332
7.27141,33.0962
7.36201,33.5316
7.44129,33.8945
7.5319,34.3299
7.6225,34.7654
7.71312,35.1284
7.81508,35.4914
7.89435,35.9268
7.98495,36.3622
8.07556,36.7976
8.16618,37.1606
8.2568,37.5236
8.33608,37.8865
8.42668,38.3219
8.51732,38.6124
8.60793,39.0479
8.69853,39.4833
8.77781,39.8462
8.86842,40.2817
8.97038,40.6447
9.061,41.0077
9.1516,41.4431
9.23088,41.806
9.33284,42.1691
9.42345,42.6045
9.51407,42.9675
9.60469,43.3305
9.69532,43.621
9.78593,44.0564
9.87655,44.4194
9.96717,44.7824
