x,Curve1
1.6301,2.5974e-07
1.69774,2.5974e-07
1.76535,3.4632e-07
1.83299,3.4632e-07
1.90059,4.329e-07
1.96143,5.19481e-07
2.01551,6.06061e-07
2.08311,6.92641e-07
2.14392,8.65801e-07
2.19799,9.52381e-07
2.26556,1.12554e-06
2.32636,1.2987e-06
2.38712,1.55844e-06
2.44116,1.7316e-06
2.50868,1.99134e-06
2.55592,2.25108e-06
2.62341,2.5974e-06
2.66388,2.85714e-06
2.71779,3.29004e-06
2.76503,3.54978e-06
2.81218,3.98268e-06
2.85926,4.58874e-06
2.89965,5.02165e-06
3.00057,6.23377e-06
3.04088,6.83983e-06
3.0812,7.44589e-06
3.11475,8.05195e-06
3.14829,8.65801e-06
3.1818,9.35065e-06
3.21531,1.00433e-05
3.24206,1.07359e-05
3.27561,1.1342e-05
3.30231,1.21212e-05
3.33582,1.28139e-05
3.36253,1.35931e-05
3.38923,1.43723e-05
3.41598,1.50649e-05
3.43588,1.59307e-05
3.46263,1.66234e-05
3.48253,1.74892e-05
3.50928,1.81818e-05
3.52241,1.90476e-05
3.54912,1.98268e-05
3.5623,2.06061e-05
3.5822,2.14719e-05
3.60894,2.21645e-05
3.62208,2.30303e-05
3.64203,2.38095e-05
3.65516,2.46753e-05
3.67511,2.54545e-05
3.69501,2.63203e-05
3.70815,2.71861e-05
3.72813,2.78788e-05
3.74803,2.87446e-05
3.76117,2.96104e-05
3.78111,3.03896e-05
3.79429,3.11688e-05
3.80743,3.20346e-05
3.82737,3.28139e-05
3.83374,3.36797e-05
3.84688,3.45455e-05
3.86682,3.53247e-05
3.88,3.61039e-05
3.89314,3.69697e-05
3.91308,3.77489e-05
3.92622,3.86147e-05
3.93939,3.93939e-05
3.95257,4.01732e-05
3.96571,4.1039e-05
3.97885,4.19048e-05
3.99879,4.2684e-05
4.01193,4.35498e-05
4.02511,4.4329e-05
4.03148,4.51948e-05
4.05142,4.5974e-05
4.06456,4.68398e-05
4.0777,4.77056e-05
4.09764,4.84848e-05
4.11082,4.92641e-05
4.12395,5.01299e-05
4.1439,5.09091e-05
4.17025,5.24675e-05
4.19019,5.32468e-05
4.21013,5.4026e-05
4.23684,5.48052e-05
4.25002,5.55844e-05
4.27672,5.63636e-05
4.30339,5.72294e-05
4.3437,5.78355e-05
4.39762,5.82684e-05
4.44521,5.77489e-05
4.47934,5.70563e-05
4.50671,5.63636e-05
4.52063,5.54978e-05
4.54132,5.4632e-05
4.56192,5.39394e-05
4.57584,5.30736e-05
4.583,5.22078e-05
4.59691,5.1342e-05
4.61079,5.05628e-05
4.63179,4.90043e-05
4.63895,4.81385e-05
4.65283,4.73593e-05
4.66674,4.64935e-05
4.6739,4.56277e-05
4.68105,4.47619e-05
4.68821,4.38961e-05
4.70209,4.31169e-05
4.70921,4.23377e-05
4.71636,4.14719e-05
4.72351,4.06061e-05
4.74478,3.84416e-05
4.75866,3.76623e-05
4.76582,3.67965e-05
4.77297,3.59307e-05
4.78013,3.50649e-05
4.78728,3.41991e-05
4.79444,3.33333e-05
4.82275,3.05628e-05
4.8299,2.9697e-05
4.83705,2.88312e-05
4.84421,2.79654e-05
4.85809,2.71861e-05
4.86524,2.63203e-05
4.8724,2.54545e-05
4.87955,2.45887e-05
4.88671,2.37229e-05
4.89386,2.28571e-05
4.90774,2.20779e-05
4.91486,2.12987e-05
4.92201,2.04329e-05
4.92917,1.95671e-05
4.93632,1.87013e-05
4.9502,1.79221e-05
4.95736,1.70563e-05
4.96451,1.61905e-05
4.97843,1.53247e-05
4.98559,1.44589e-05
4.99274,1.35931e-05
5.00662,1.28139e-05
5.02054,1.19481e-05
5.0277,1.10823e-05
5.04158,1.0303e-05
5.05546,9.52381e-06
5.06938,8.65801e-06
5.07653,7.79221e-06
5.09718,7.01299e-06
5.11109,6.14719e-06
5.12497,5.36797e-06
5.14562,4.58874e-06
5.1663,3.72294e-06
5.19367,3.0303e-06
5.21436,2.1645e-06
5.25522,1.55844e-06
5.29611,8.65801e-07
5.3437,3.4632e-07
