x,Curve1
4.20122,5.30504e-05
4.20393,5.31511e-05
4.21746,5.3741e-05
4.22017,5.38417e-05
4.2337,5.43885e-05
4.23686,5.44892e-05
4.24272,5.47194e-05
4.24543,5.48201e-05
4.2513,5.50504e-05
4.25491,5.51367e-05
4.26078,5.53525e-05
4.26348,5.54532e-05
4.2698,5.56691e-05
4.27296,5.57554e-05
4.27973,5.59568e-05
4.28289,5.60576e-05
4.28921,5.6259e-05
4.29237,5.63309e-05
4.29959,5.6518e-05
4.3032,5.66043e-05
4.31043,5.67914e-05
4.31404,5.68633e-05
4.32126,5.7036e-05
4.32533,5.70935e-05
4.33255,5.72518e-05
4.33617,5.73237e-05
4.34475,5.74532e-05
4.34881,5.75108e-05
4.35694,5.76259e-05
4.36101,5.76691e-05
4.36959,5.7741e-05
4.37411,5.77698e-05
4.3827,5.78273e-05
4.38722,5.78417e-05
4.3958,5.78705e-05
4.40032,5.78705e-05
4.40981,5.78561e-05
4.41434,5.78273e-05
4.42293,5.77842e-05
4.42745,5.77554e-05
4.43559,5.76691e-05
4.43966,5.76259e-05
4.44825,5.75108e-05
4.45187,5.74388e-05
4.46001,5.73094e-05
4.46408,5.72374e-05
4.47132,5.70791e-05
4.47449,5.69928e-05
4.48218,5.68201e-05
4.48535,5.67338e-05
4.49213,5.65324e-05
4.4953,5.6446e-05
4.50164,5.62302e-05
4.50481,5.61439e-05
4.51114,5.59281e-05
4.51431,5.58273e-05
4.51975,5.56115e-05
4.52246,5.55108e-05
4.5279,5.52518e-05
4.53107,5.51511e-05
4.53605,5.49209e-05
4.53877,5.48201e-05
4.5442,5.45612e-05
4.54692,5.44604e-05
4.55145,5.42158e-05
4.55416,5.41007e-05
4.55824,5.38561e-05
4.56096,5.37554e-05
4.56504,5.34964e-05
4.56776,5.33813e-05
4.57184,5.31223e-05
4.57455,5.30072e-05
4.57908,5.27482e-05
4.58135,5.26331e-05
4.58498,5.23741e-05
4.58769,5.2259e-05
4.59132,5.19856e-05
4.59359,5.18705e-05
4.59676,5.16259e-05
