x,Curve1
4.33862,4.1191e-05
4.34145,4.12692e-05
4.34485,4.14255e-05
4.35107,4.16773e-05
4.3573,4.1903e-05
4.36353,4.21462e-05
4.36693,4.22069e-05
4.36976,4.23806e-05
4.37316,4.24501e-05
4.37655,4.26151e-05
4.38335,4.28495e-05
4.38618,4.2919e-05
4.39014,4.30839e-05
4.39751,4.33097e-05
4.40034,4.33792e-05
4.40374,4.35441e-05
4.40657,4.36049e-05
4.41167,4.37699e-05
4.4145,4.38394e-05
4.41903,4.39957e-05
4.42244,4.40564e-05
4.43604,4.44385e-05
4.43887,4.4508e-05
4.45304,4.48726e-05
4.45645,4.49334e-05
4.46268,4.5081e-05
4.46665,4.51331e-05
4.47289,4.52894e-05
4.47686,4.53502e-05
4.48367,4.54805e-05
4.48764,4.55152e-05
4.49558,4.56541e-05
4.50012,4.56975e-05
4.50864,4.57931e-05
4.51261,4.58452e-05
4.52226,4.5932e-05
4.52794,4.59493e-05
4.5376,4.59928e-05
4.54328,4.60101e-05
4.5535,4.60188e-05
4.55918,4.60101e-05
4.56942,4.59667e-05
4.57453,4.5932e-05
4.58477,4.58452e-05
4.58932,4.58017e-05
4.59728,4.56802e-05
4.60183,4.56368e-05
4.60866,4.54978e-05
4.61322,4.54457e-05
4.61891,4.53068e-05
4.62233,4.5246e-05
4.62916,4.50984e-05
4.632,4.50289e-05
4.6377,4.48813e-05
4.64112,4.48119e-05
4.64568,4.46556e-05
4.64852,4.45861e-05
4.65309,4.44211e-05
4.6565,4.43603e-05
4.66049,4.42041e-05
4.66334,4.41346e-05
4.66733,4.39696e-05
4.67018,4.39001e-05
4.67361,4.37265e-05
4.67645,4.3657e-05
4.67988,4.34834e-05
4.68558,4.32576e-05
4.68786,4.31881e-05
4.69186,4.30058e-05
4.6947,4.29363e-05
4.69699,4.27627e-05
4.7027,4.25282e-05
4.70498,4.24501e-05
4.71697,4.17902e-05
4.72668,4.13039e-05
4.72952,4.12344e-05
4.73181,4.10434e-05
