x,Curve1
0.00155157,2.01188
0.0090017,2.0436
0.0156215,2.09638
0.0230716,2.1281
0.0296925,2.17035
0.0363145,2.20206
0.0437657,2.22324
0.0512148,2.2655
0.0578345,2.31829
0.0652858,2.33946
0.0727348,2.38172
0.0793546,2.43451
0.0859788,2.44514
0.0934278,2.4874
0.100047,2.55073
0.108325,2.58245
0.114945,2.63524
0.122395,2.66696
0.128189,2.69866
0.133152,2.75142
0.140602,2.78314
0.148052,2.81486
0.154673,2.85711
0.161293,2.9099
0.167914,2.95215
0.175364,2.98387
0.181984,3.03665
0.191916,3.08949
0.198536,3.14227
0.208468,3.1951
0.215917,3.23736
0.222537,3.29015
0.227504,3.3113
0.234952,3.3641
0.241573,3.40634
0.248193,3.45913
0.255643,3.49085
0.262261,3.55418
0.269712,3.5859
0.276332,3.62815
0.282952,3.68093
0.289572,3.73372
0.296193,3.77597
0.302814,3.81822
0.310261,3.88156
0.316883,3.91327
0.324331,3.96606
0.330952,4.00831
0.33757,4.07164
0.344192,4.10335
0.350812,4.15614
0.35826,4.20894
0.36488,4.26172
0.3715,4.31451
0.378949,4.35677
0.385567,4.4201
0.392188,4.46235
0.397979,4.52567
0.405429,4.55738
0.409564,4.61014
0.416186,4.64185
0.419494,4.68405
0.426945,4.71577
0.429425,4.75796
0.434389,4.80019
0.441011,4.8319
0.444319,4.8741
0.450941,4.90581
0.458389,4.95861
0.461695,5.02189
0.469146,5.05361
0.472454,5.09582
0.47659,5.13803
0.484864,5.21192
0.492314,5.24364
0.49645,5.2964
0.503897,5.35974
0.509688,5.41251
0.51631,5.44422
0.519617,5.49696
0.524582,5.53919
0.532856,5.61308
0.541131,5.67643
0.54775,5.73976
0.556025,5.80311
0.56347,5.87699
0.570917,5.94033
0.579191,6.01422
0.587465,6.08811
0.594085,6.1409
0.600706,6.18315
0.60484,6.24644
0.612287,6.30978
0.616422,6.36254
0.624696,6.43643
0.631316,6.48921
0.639589,6.57364
0.64538,6.62642
0.651171,6.68974
0.657788,6.76361
0.663579,6.82692
0.669372,6.86916
0.674335,6.92193
0.680126,6.98525
0.685089,7.03801
0.690881,7.09079
0.696673,7.14357
0.701635,7.20687
0.707425,7.27019
0.714044,7.33352
0.718181,7.37573
0.723971,7.43905
0.728936,7.48128
0.733899,7.53404
0.739689,7.6079
0.746306,7.68177
0.75127,7.73454
0.756233,7.7873
0.762851,7.86117
0.76864,7.93503
0.77443,8.00889
0.78022,8.0722
0.78601,8.14606
0.792627,8.21993
0.798417,8.29379
