x,Curve1
0.00679502,2.0316
0.012231,2.05745
0.0183465,2.08328
0.0244621,2.12646
0.0298981,2.15232
0.0380521,2.18676
0.0441676,2.2126
0.0489241,2.25581
0.0550396,2.27298
0.0611552,2.30748
0.0659117,2.34203
0.0720272,2.35919
0.0774632,2.39371
0.0835787,2.42822
0.0890147,2.45407
0.0944507,2.4886
0.101246,2.51441
0.106682,2.55761
0.112797,2.58345
0.118913,2.61795
0.124349,2.65248
0.131144,2.68696
0.13658,2.72149
0.141336,2.74736
0.146093,2.7819
0.151529,2.80776
0.156965,2.85095
0.16376,2.85943
0.171234,2.91991
0.180068,2.98034
0.186183,3.00618
0.191619,3.0407
0.194337,3.06664
0.199773,3.10116
0.205889,3.127
0.213364,3.1788
0.222197,3.23057
0.228313,3.27375
0.234428,3.30825
0.239185,3.3428
0.2453,3.3773
0.252095,3.42913
0.25889,3.46362
0.265006,3.49812
0.269762,3.54134
0.276557,3.56715
0.280634,3.59305
0.28675,3.64489
0.294224,3.6967
0.301019,3.73118
0.305096,3.76575
0.309853,3.80029
0.315968,3.8348
0.322763,3.87795
0.328879,3.9298
0.335674,3.96429
0.34043,4.0075
0.347905,4.05931
0.356059,4.1111
0.364892,4.18021
0.370328,4.2234
0.376444,4.25791
0.3812,4.30112
0.387316,4.33563
0.392752,4.37882
0.400227,4.43063
0.407022,4.49113
0.414496,4.53426
0.419932,4.57746
0.425368,4.62065
0.431484,4.66383
0.437599,4.70701
0.443035,4.7502
0.448471,4.7934
0.454587,4.83657
0.460023,4.87977
0.465459,4.91429
0.470895,4.96616
0.47701,5.00933
0.482446,5.05253
0.487882,5.1044
0.493998,5.14757
0.499434,5.19077
0.505549,5.23394
0.510985,5.28581
0.516421,5.32033
0.522537,5.37218
0.527293,5.4154
0.532729,5.46726
0.538845,5.51044
0.544281,5.55363
0.549717,5.6055
0.555832,5.64868
0.560589,5.69189
0.566025,5.74376
0.571461,5.78695
0.576897,5.82148
0.582333,5.87334
0.587769,5.91654
0.592525,5.96842
0.597961,6.01162
