x,Curve1
0.00884577,2.11143
0.0199323,2.10987
0.0310172,2.24915
0.0409935,2.38859
0.05208,2.38703
0.0631665,2.38547
0.0731427,2.52491
0.0842277,2.66419
0.0953142,2.66263
0.106399,2.80192
0.116377,2.80051
0.127462,2.93979
0.138548,2.93823
0.149633,3.07752
0.160718,3.2168
0.170694,3.35624
0.181781,3.35468
0.192864,3.63481
0.203951,3.63325
0.213927,3.77269
0.225012,3.91197
0.236097,4.05125
0.247182,4.19054
0.25605,4.33013
0.266026,4.46957
0.277111,4.60886
0.288196,4.74814
0.299279,5.02827
0.309255,5.16771
0.31923,5.448
0.329206,5.58744
0.340293,5.58587
0.350266,6.007
0.361352,6.00544
0.371326,6.42657
0.3813,6.70686
0.391277,6.8463
0.40125,7.26743
0.411226,7.40687
0.422309,7.687
0.431174,8.10829
0.441149,8.38857
0.447796,8.81017
0.457767,9.37215
0.467745,9.37074
0.472174,9.9335
0.482147,10.3546
0.509844,12.0409
0.519814,12.7437
0.528676,13.4467
0.54529,14.8528
0.554151,15.5558
0.561907,15.9772
0.568548,16.9622
0.576299,17.8062
0.585159,18.65
0.600661,20.3379
0.608413,21.1819
0.617272,22.0257
0.625024,22.8697
0.632775,23.7137
0.641635,24.5575
0.651605,25.2603
0.660466,25.9633
0.670438,26.5253
0.680409,27.0873
0.691493,27.3674
0.701469,27.5068
0.712557,27.3644
0.723647,27.0812
0.733628,26.7981
0.742505,26.0926
0.751382,25.3871
0.761367,24.6815
0.769137,23.8353
0.778016,22.989
0.784675,22.2838
0.792445,21.4377
0.801322,20.7322
0.809092,19.886
0.817969,19.1806
0.826848,18.3342
0.834618,17.4881
0.844603,16.7825
0.853479,16.2178
0.862357,15.3715
0.871233,14.8069
0.881217,14.2421
0.890092,13.6775
0.901183,13.2534
0.911168,12.6886
0.921152,12.1238
0.931134,11.6998
0.942224,11.4166
0.952206,10.9926
0.962189,10.5687
0.973278,10.2855
0.982152,9.86167
0.993243,9.43757
