x,Curve1
0.00777757,0.00777757
0.0189351,1.19488
0.0300927,1.29445
0.0401373,1.29445
0.0512948,1.39403
0.0624524,1.4936
0.0736099,1.59317
0.0847675,1.69275
0.0948121,1.69275
0.10597,1.79232
0.116011,1.89189
0.127169,1.99147
0.138326,2.09104
0.148364,2.29018
0.159525,2.29018
0.170683,2.38976
0.18184,2.48933
0.191879,2.68848
0.203036,2.78805
0.214197,2.78805
0.224235,2.9872
0.235389,3.18634
0.245431,3.28592
0.256588,3.38549
0.267746,3.48506
0.277781,3.78378
0.288939,3.88336
0.298977,4.0825
0.310135,4.18208
0.320173,4.38122
0.330211,4.58037
0.341365,4.77952
0.351401,5.07824
0.362555,5.27738
0.373709,5.47653
0.382628,5.77525
0.393783,5.9744
0.403815,6.37269
0.41385,6.67141
0.419427,6.77098
0.422772,6.87055
0.431688,7.26885
0.441723,7.56757
0.442836,7.66714
0.452871,7.96586
0.461784,8.46373
0.471822,8.66287
0.477386,9.16074
0.486299,9.65861
0.495225,9.75818
0.506369,10.256
0.515282,10.7539
0.524195,11.2518
0.533111,11.6501
0.54202,12.2475
0.550933,12.7454
0.559846,13.2432
0.568758,13.7411
0.577671,14.239
0.58658,14.8364
0.596609,15.3343
0.605522,15.8321
0.614435,16.33
0.623351,16.7283
0.633382,17.1266
0.642295,17.6245
0.651211,18.0228
0.661243,18.4211
0.671278,18.7198
0.681313,19.0185
0.692468,19.2176
0.702506,19.4168
0.712547,19.5164
0.723705,19.6159
0.734869,19.5164
0.746033,19.4168
0.756084,19.2176
0.766138,18.9189
0.776192,18.6202
0.787362,18.3215
0.796303,17.9232
0.806364,17.4253
0.815308,16.9275
0.82425,16.5292
0.83431,16.0313
0.843258,15.4339
0.852193,15.2347
0.860024,14.6373
0.868972,14.0398
0.8768,13.542
0.886858,13.1437
0.895802,12.6458
0.90475,12.0484
0.914807,11.6501
0.924864,11.2518
0.933806,10.8535
0.943863,10.4552
0.95392,10.0569
0.963978,9.65861
0.972919,9.26031
0.982973,8.96159
