x,Curve1
0.00223214,2.54013e-06
0.0133928,1.52408e-05
0.0245535,2.79414e-05
0.0357142,4.0642e-05
0.0468749,5.33426e-05
0.0580355,6.60433e-05
0.0691962,7.87439e-05
0.0803569,9.14445e-05
0.0915176,0.000104145
0.102678,0.000116846
0.113839,0.000129546
0.125,0.000142247
0.13616,0.000154948
0.147321,0.000167648
0.158482,0.000180349
0.169642,0.00019305
0.180803,0.00020575
0.191964,0.000218451
0.207589,0.000236232
0.218749,0.000248932
0.22991,0.000261633
0.241071,0.000274334
0.252231,0.000287034
0.263392,0.000299735
0.274553,0.000312436
0.285713,0.000325136
0.296874,0.000337837
0.308035,0.000350537
0.319195,0.000363238
0.330356,0.000375939
0.341517,0.000388639
0.352677,0.00040134
0.363838,0.000414041
0.374999,0.000426741
0.386159,0.000439442
0.39732,0.000452142
0.402897,0.00159647
0.412945,0.000469923
0.424106,0.000482624
0.435266,0.000495325
0.446427,0.000508025
0.457588,0.000520726
0.476561,0.000542317
0.499998,0.000568988
0.517855,0.000589309
0.536829,0.0006109
0.55915,0.000636302
0.571424,0.00178825
0.579233,0.00293512
0.59151,0.00294909
0.601551,0.00409849
0.612709,0.00524917
0.618286,0.0063935
0.628321,0.00981886
0.636124,0.0132417
0.642811,0.0166632
0.649498,0.0200848
0.656178,0.0257823
0.662862,0.0303418
0.668429,0.0349001
0.672884,0.0383191
0.677333,0.044014
0.681784,0.048571
0.687349,0.0542673
0.69402,0.0633787
0.698468,0.0690736
0.702913,0.0759066
0.710691,0.0884332
0.714026,0.0929889
0.718471,0.0998219
0.721801,0.106654
0.72624,0.115762
0.731794,0.124873
0.735127,0.130566
0.740682,0.139676
0.746227,0.152201
0.751782,0.161311
0.759553,0.176113
0.765102,0.187499
0.77065,0.198886
0.775089,0.207994
0.781748,0.221658
0.791732,0.243291
0.796168,0.253538
0.802826,0.267201
0.809487,0.279726
0.817259,0.294529
0.821697,0.303638
0.827252,0.312748
0.831688,0.322995
0.837243,0.332105
0.842795,0.342353
0.84723,0.3526
0.851669,0.361709
0.856105,0.371956
0.86166,0.381066
0.867212,0.391314
0.871647,0.401561
0.877202,0.410671
0.881641,0.41978
0.887196,0.42889
0.891629,0.440275
0.897184,0.449385
0.901619,0.459632
0.906058,0.468741
0.911613,0.477851
0.916046,0.489236
0.921601,0.498346
0.926039,0.507455
0.930472,0.51884
0.934911,0.527949
0.939347,0.538196
0.943782,0.548442
0.948221,0.557551
0.952657,0.567798
0.957093,0.578045
0.960412,0.588291
0.964848,0.598538
0.968167,0.608783
0.972603,0.61903
0.974804,0.630412
0.978123,0.640658
0.981443,0.650903
0.983643,0.662286
0.986963,0.672531
0.989166,0.682776
0.991367,0.694158
0.992451,0.705539
0.994655,0.715783
0.996855,0.727166
