x,Curve1
1.11113,4.47278e-06
1.17532,5.57152e-06
1.23311,6.12323e-06
1.29087,7.22139e-06
1.34864,8.31955e-06
1.41282,9.41829e-06
1.46411,1.16088e-05
1.5283,1.27075e-05
1.58606,1.38057e-05
1.61168,1.54473e-05
1.66939,1.76384e-05
1.7207,1.92824e-05
1.75914,2.14717e-05
1.8104,2.42086e-05
1.87448,2.74931e-05
1.91929,3.07759e-05
1.97057,3.29664e-05
2.00251,3.67944e-05
2.04735,3.95307e-05
2.09213,4.33599e-05
2.11127,4.60939e-05
2.14963,4.99226e-05
2.19441,5.37518e-05
2.2071,5.70316e-05
2.24546,6.08602e-05
2.27737,6.52347e-05
2.29648,6.85152e-05
2.33482,7.28902e-05
2.3603,7.72641e-05
2.37939,8.1091e-05
2.4113,8.54655e-05
2.44305,9.31187e-05
2.47496,9.74932e-05
2.50042,0.000102414
2.51945,0.000107333
2.54491,0.000112254
2.56395,0.000117173
2.58941,0.000122094
2.60844,0.000127014
2.62748,0.000131933
2.64651,0.000136853
2.66552,0.000142319
2.68455,0.000147239
2.70359,0.000152159
2.72905,0.000157079
2.74163,0.000162545
2.76712,0.000166919
2.7797,0.000172384
2.79874,0.000177304
2.81777,0.000182224
2.83036,0.000187689
2.84939,0.000192609
2.8684,0.000198075
2.88101,0.000202995
2.90005,0.000207914
2.91263,0.00021338
2.93812,0.000217754
2.9507,0.00022322
2.96329,0.000228685
2.98232,0.000233605
3.00136,0.000238525
3.01394,0.00024399
3.03298,0.00024891
3.05198,0.000254376
3.07105,0.00025875
3.09005,0.000264216
3.10909,0.000269136
3.12807,0.000275148
3.15356,0.000279522
3.1788,0.000288814
3.21071,0.000293189
3.24249,0.000300295
3.28088,0.000303577
3.31279,0.000307952
3.36407,0.000310142
3.42199,0.000307962
3.46075,0.000303594
3.48668,0.000298678
3.51259,0.000294309
3.53212,0.000288846
3.55803,0.000284477
3.57117,0.000278467
3.58428,0.000273004
3.61684,0.000263717
3.62996,0.000258254
3.65607,0.000249513
3.66918,0.00024405
3.68243,0.000235855
3.70194,0.000230938
3.71513,0.000223836
3.72824,0.000218372
3.77434,0.000194879
3.79385,0.000189963
3.80696,0.0001845
3.82668,0.000175212
3.83979,0.000169749
3.87931,0.000149534
3.89242,0.00014407
3.90569,0.000135328
3.92519,0.000130412
3.93844,0.000122217
3.95795,0.0001173
4.00389,9.7086e-05
4.0234,9.21697e-05
4.04957,8.2336e-05
4.0755,7.74204e-05
4.09514,6.97719e-05
4.12107,6.48562e-05
4.15361,5.6116e-05
4.17955,5.12003e-05
4.21198,4.46459e-05
4.24431,4.02773e-05
4.27024,3.53616e-05
4.309,3.09935e-05
4.35428,2.44403e-05
4.39943,2.06193e-05
4.44456,1.73447e-05
4.48974,1.29772e-05
4.54121,1.13426e-05
4.59916,8.61559e-06
4.65068,5.88804e-06
4.70857,4.25397e-06
